[individuals]
496
[dimensions]
3
[landmarks]
119
[rawpoints]
'#1 Gca_F_B_SMF_4509
4.094294e+00 -1.327115e+01 4.928308e+01
-1.263657e-01 -2.471445e+01 4.576791e+01
1.276642e+00 -2.497156e+01 4.917939e+01
-3.972738e+00 -1.011139e+01 4.770525e+01
-4.156119e+00 -1.061736e+01 4.937376e+01
-1.454280e+00 -1.104126e+01 5.425346e+01
-2.363412e+00 -1.119273e+01 5.334970e+01
-1.013629e+01 8.291395e-01 5.443298e+01
-9.089837e+00 -2.151006e+00 5.415649e+01
-8.642447e+00 -2.512282e+00 5.460242e+01
-8.241364e+00 -3.119447e+00 5.472157e+01
-8.267690e+00 -2.564520e+00 5.547916e+01
-8.148195e+00 -2.519841e+00 5.613558e+01
-8.649878e+00 1.023058e+00 5.765359e+01
-5.090768e+00 4.494822e+00 5.114103e+01
-2.628307e+00 3.647732e+00 5.677074e+01
-6.362901e+00 5.984947e+00 5.283036e+01
-4.997342e+00 5.709538e+00 5.700670e+01
-1.113874e+01 8.975096e+00 4.785960e+01
-3.903832e+00 6.598361e+00 6.448228e+01
-1.607265e+01 1.356988e+01 5.691466e+01
-1.443732e+01 1.227444e+01 6.434823e+01
-1.406477e+01 1.441413e+01 5.275183e+01
-8.787138e+00 1.254457e+01 6.472284e+01
-1.489660e+01 1.531600e+01 6.058166e+01
-1.219708e+01 1.949952e+01 5.994518e+01
3.803986e+00 -1.327662e+01 4.758474e+01
4.232518e+00 -7.611907e+00 4.846973e+01
5.742362e+00 -2.070070e+00 4.872379e+01
7.325177e+00 3.455831e+00 4.884631e+01
5.737540e+00 7.711548e+00 5.039976e+01
4.206575e+00 1.202859e+01 5.183640e+01
2.828938e+00 1.645137e+01 5.309575e+01
-1.278116e-01 1.863288e+01 5.469396e+01
-3.357965e+00 2.041863e+01 5.625338e+01
-6.086896e+00 2.303325e+01 5.758416e+01
-6.197798e+00 6.898879e+00 4.289687e+01
-4.430113e+00 9.492586e+00 4.491209e+01
-2.690645e+00 1.262999e+01 4.593375e+01
-1.005802e+00 1.595123e+01 4.614307e+01
6.386857e-01 1.885705e+01 4.684151e+01
2.352817e+00 2.176617e+01 4.732620e+01
